Mean distance,STD,CI
3031.355737217941,130.71705454656419,"(2932.788230139636, 3129.923244296246)"
18934.711537723426,602.2089657250192,"(18480.614429296194, 19388.808646150657)"
18791.247886584704,466.1503943000944,"(18439.746068791206, 19142.749704378202)"
18642.12218899383,398.82293094817277,"(18341.388805690578, 18942.855572297085)"
18658.075159226504,465.1632787230008,"(18307.317678290732, 19008.832640162276)"
18880.668502912915,646.2364477770053,"(18393.372366525233, 19367.964639300597)"
18677.93019988125,724.0324507091266,"(18131.971801738397, 19223.888598024107)"
18881.571595973797,439.695804801816,"(18550.017924553933, 19213.12526739366)"
18834.168721627237,618.7451999814222,"(18367.602426277375, 19300.735016977098)"
18980.270867616397,273.76298559687234,"(18773.839234695955, 19186.702500536838)"
18833.616969186525,535.8727200668759,"(18429.54086518093, 19237.69307319212)"
19427.16891176133,436.5770353092267,"(19097.966955923668, 19756.370867598995)"
18658.309776566042,607.8916526128631,"(18199.92762452316, 19116.691928608925)"
18942.832041170885,476.310719381697,"(18583.668805991012, 19301.995276350757)"
18685.315608542536,499.96882155036764,"(18308.312924936756, 19062.318292148317)"
18855.51680242045,614.336003192081,"(18392.275272436906, 19318.758332403995)"
18831.225314193216,583.4036589437397,"(18391.308392243587, 19271.142236142845)"
18903.582896540887,787.9523089488946,"(18309.42557667854, 19497.740216403236)"
18958.14572112877,604.554079768907,"(18502.280273857596, 19414.011168399946)"
19082.093675477656,543.8197079807711,"(18672.025126261517, 19492.162224693795)"
19174.746310898423,716.5422140939943,"(18634.43594355875, 19715.056678238096)"
