Mean distance,STD,CI
2996.08951438687,53.406303104387554,"(2955.818364019168, 3036.3606647545726)"
34378.73659208853,650.7970940644975,"(33888.001489478855, 34869.4716946982)"
34442.033551127606,804.9736012447676,"(33835.04128516985, 35049.02581708536)"
33798.764733367614,943.9152797161495,"(33087.0031630241, 34510.52630371113)"
34108.02226349393,876.4981231118975,"(33447.096761051725, 34768.94776593613)"
34376.60919132193,1042.0191988324602,"(33590.87212653777, 35162.34625610609)"
33440.79414992878,942.6262288245899,"(32730.004591487752, 34151.5837083698)"
33991.66433303426,705.9580566834237,"(33459.334974860554, 34523.99369120797)"
33318.85976273999,840.8606490738225,"(32684.806782683525, 33952.91274279645)"
33537.1172242851,776.5266329073896,"(32951.57546272157, 34122.65898584863)"
34128.96488318568,960.4858302555238,"(33404.70824964443, 34853.22151672694)"
33583.11248778553,729.2599676892813,"(33033.21226798268, 34133.01270758839)"
33709.899977010165,744.3665701782105,"(33148.608587532304, 34271.19136648803)"
33728.86422136289,634.2021485785776,"(33250.64257701864, 34207.085865707144)"
33577.26495816112,1106.5102342604573,"(32742.89827413495, 34411.63164218728)"
34157.79316763893,1061.4034199964055,"(33357.43938460471, 34958.146950673145)"
33514.088936727705,551.952406967886,"(33097.88790642286, 33930.28996703255)"
33908.90556376748,698.645520146973,"(33382.090241228354, 34435.72088630661)"
33669.14490654918,1020.3900017913172,"(32899.71738943534, 34438.57242366303)"
33571.21152064172,920.428684570078,"(32877.16007344423, 34265.26296783921)"
33307.893094102816,1132.0759577325784,"(32454.248515252275, 34161.53767295335)"
