Mean distance,STD,CI
3012.2074789759668,155.74119066532324,"(2894.7704623101763, 3129.644495641757)"
28458.01192179809,877.63970804602,"(27796.225604510684, 29119.798239085496)"
25897.73534503504,870.605040287444,"(25241.25353576682, 26554.217154303256)"
24476.713036864392,635.28964414687,"(23997.671363890386, 24955.7547098384)"
23283.191550749187,776.0825712226344,"(22697.984634959277, 23868.398466539096)"
22709.27876686518,874.3122748047573,"(22050.001508557863, 23368.556025172496)"
21306.80662921487,1068.3593292569715,"(20501.20772619493, 22112.405532234807)"
21456.52066274995,689.778372994249,"(20936.39163369236, 21976.64969180754)"
20045.90368297597,664.2305885927883,"(19545.03902174369, 20546.768344208253)"
19858.757174428312,529.2600185175212,"(19459.667393814365, 20257.84695504226)"
19449.962252141482,628.1606453502035,"(18976.29621773116, 19923.628286551804)"
18641.372042580304,732.3784025429483,"(18089.120359530527, 19193.62372563008)"
18655.13091845561,349.9919269026618,"(18391.218670340815, 18919.0431665704)"
18474.58035709113,469.5657669628125,"(18120.503169386833, 18828.657544795427)"
17690.637491656707,613.683423006463,"(17227.888041320213, 18153.3869419932)"
17706.862973924315,539.0521469260394,"(17300.389415504433, 18113.336532344198)"
17263.92425330599,483.47120991488976,"(16899.36163314332, 17628.486873468664)"
17312.171847786107,719.9619809058396,"(16769.282797116994, 17855.06089845522)"
16994.732526436477,667.0744333037521,"(16491.72345730999, 17497.741595562966)"
16380.910853134501,626.7119106862559,"(15908.337240556499, 16853.484465712503)"
16425.848206150647,502.1948626073982,"(16047.166970970962, 16804.52944133033)"
