Mean distance,STD,CI
3117.196582657855,107.45187716743835,"(3036.1722381297595, 3198.22092718595)"
5887.10586030178,281.49464942915205,"(5674.84414780864, 6099.36757279492)"
4674.751972371485,82.80952394004927,"(4612.3092531301, 4737.19469161287)"
4124.961550802883,183.32043226111392,"(3986.7283411641315, 4263.194760441634)"
3818.8679212249417,150.4655372161058,"(3705.40902363858, 3932.3268188113034)"
3578.8344355167546,94.06053847305982,"(3507.9078619040524, 3649.761009129457)"
3449.2011057780014,67.61702887044804,"(3398.214323717152, 3500.1878878388507)"
3341.5004427525573,44.8552282700513,"(3307.6772507800642, 3375.3236347250504)"
3248.853450343724,84.5890346909804,"(3185.068886771875, 3312.638013915573)"
3221.8015946982728,71.05601482606743,"(3168.2216370667334, 3275.381552329812)"
3182.5720587758196,88.36970687416942,"(3115.9366703175783, 3249.207447234061)"
3140.287393300273,42.38740117404654,"(3108.325072241658, 3172.249714358888)"
3068.0439961107722,40.16249742026974,"(3037.759369039829, 3098.3286231817156)"
3061.140002242156,59.87147504237292,"(3015.9937735384983, 3106.2862309458133)"
3066.5640849242745,64.84443481180463,"(3017.6679840331362, 3115.460185815413)"
3023.059837802803,50.69498686984791,"(2984.833161915241, 3061.286513690365)"
2985.7485793562146,74.97910598750673,"(2929.2104054676965, 3042.2867532447326)"
2998.777110509512,49.92436798906694,"(2961.131521628917, 3036.422699390107)"
3033.2195566523924,88.27477233505033,"(2966.655753810038, 3099.783359494747)"
2958.261559230984,70.4179353425046,"(2905.162746957491, 3011.360371504477)"
2964.54708585783,68.85115898065855,"(2912.6297050407916, 3016.4644666748686)"
