Mean distance,STD,CI
3087.1213104924555,130.01860613234766,"(2989.080470108492, 3185.1621508764188)"
33530.74982676013,1064.1982259078127,"(32728.288613655597, 34333.21103986467)"
33136.601509103115,1039.675026944418,"(32352.632072728033, 33920.5709454782)"
33046.837605123015,908.6378045869919,"(32361.677099128443, 33731.99811111759)"
32866.967707115626,1028.8655793221417,"(32091.149160528545, 33642.7862537027)"
32953.44975645885,556.920220282916,"(32533.502734662758, 33373.39677825495)"
33182.054353911655,877.6550204939324,"(32520.25649023634, 33843.852217586966)"
32950.284042423926,868.4446283719959,"(32295.43129691871, 33605.13678792914)"
33016.63915569043,936.7155612710234,"(32310.30655023036, 33722.97176115049)"
33109.985614630044,948.9633177689159,"(32394.41755914024, 33825.55367011984)"
33127.08209637753,995.3690766873165,"(32376.521667577832, 33877.64252517723)"
33026.59417651652,571.8941447737408,"(32595.35603120667, 33457.83232182637)"
33261.99624879195,1064.7175652788908,"(32459.143426594685, 34064.849070989214)"
32995.549996602495,740.3026937197966,"(32437.322982870934, 33553.77701033406)"
32815.35353699335,839.3148965186393,"(32182.466135341736, 33448.24093864497)"
32915.01246680516,612.9754298847522,"(32452.79688037248, 33377.228053237835)"
32524.529867539146,617.0896279942564,"(32059.21196019902, 32989.84777487927)"
32681.98363684147,1052.915687339522,"(31888.03004888232, 33475.93722480062)"
32742.71494829945,684.8810275171628,"(32226.278774291663, 33259.15112230724)"
33026.33444759295,855.9053854464839,"(32380.936948154165, 33671.73194703173)"
32482.48267488536,1326.3651166899513,"(31482.333891842038, 33482.63145792868)"
