Mean distance,STD,CI
2990.267396341641,86.76111421666992,"(2924.8449710174314, 3055.6898216658506)"
18402.254937221907,613.4617946866766,"(17939.672606249103, 18864.83726819471)"
14810.362679158137,577.7411096390692,"(14374.715616031488, 15246.009742284787)"
12713.464898338108,291.75730950689535,"(12493.464602510421, 12933.465194165796)"
11719.875769162802,633.6635416690369,"(11242.060262644656, 12197.691275680947)"
11024.692822882427,236.9929089739546,"(10845.987754031008, 11203.397891733846)"
10229.405425059527,348.77272596718393,"(9966.412518321073, 10492.398331797982)"
9910.560622132729,395.13790400470805,"(9612.605942194492, 10208.515302070966)"
9282.047775599116,276.28495382877935,"(9073.714446512004, 9490.381104686228)"
8869.590123251564,157.66633284149967,"(8750.701448531396, 8988.478797971733)"
8648.815387269706,345.6929072944497,"(8388.14482515474, 8909.48594938467)"
8345.040728420396,208.5507841044741,"(8187.782511734667, 8502.298945106124)"
8026.287633723527,130.52582076506582,"(7927.864326934747, 8124.7109405123065)"
7922.351953691524,309.93341476051245,"(7688.645922300435, 8156.0579850826125)"
7708.990262587964,224.6671568263057,"(7539.5794565722035, 7878.4010686037245)"
7399.50621079937,221.74386015265642,"(7232.299723619981, 7566.712697978759)"
7342.717820591635,214.1064784995155,"(7181.270319282659, 7504.165321900611)"
7219.212610186766,206.39026645696774,"(7063.583536991549, 7374.841683381983)"
7056.556701608943,235.57478263312532,"(6878.920974310717, 7234.1924289071685)"
6776.6577909737025,180.97535388027075,"(6640.192893287089, 6913.122688660316)"
6784.10729517265,166.82366092087128,"(6658.313515350375, 6909.901074994925)"
